Model, Form, Style, Pattern, Controls, Covered controls, Percent covered controls, Pattern Version, Unspecified count, Custom count
Foundation,JmgGroupSigningLine,SimpleList,SimpleList,10,10,100.00%,1.1,0,0
Foundation,JmgFlexCorrection,SimpleList,SimpleList,18,18,100.00%,1.1,0,0
Foundation,BudgetTransactionReverseInquiry,Dialog,DialogReadOnly,15,15,100.00%,1.2,0,0
Subledger,SubledgerJournalAccountEntry,SimpleList,SimpleList,39,39,100.00%,1.1,0,0
Foundation,RDeferralsTableListPage,ListPage,ListPage,20,20,100.00%,UX7 1.0,0,0
Foundation,PdsInventBatchShelfAdvice,SimpleList,SimpleList,47,47,100.00%,1.1,0,0
Foundation,PdsMRCCustomerHistory,SimpleList,SimpleList,20,20,100.00%,1.1,0,0
Foundation,FBCFOPCreditBaseSource_BR,SimpleList,,17,0,0.00%,,1,0
Foundation,JmgGroupSigningTable,SimpleList,SimpleList,16,16,100.00%,1.1,0,0
Foundation,SalesOrderProcessingWorkspace,Workspace,WorkspaceOperational,44,44,100.00%,1,0,0
Foundation,FBCIAPAssessmentSummary_BR,FormPart,FormPartFactboxCard,7,7,100.00%,UX7 1.0,0,0
Foundation,FBBookingPeriodCreate_BR,DropDialog,DropDialog,8,8,100.00%,1.2,0,0
Foundation,JmgIllegalEventCodeCombination,SimpleList,SimpleList,7,7,100.00%,1.1,0,0
Foundation,PdsMRCDocument,SimpleListDetails,SimpleListDetails,39,39,100.00%,1.3,0,0
Foundation,BudgetTransactionTotalsPart,FormPart,FormPartFactboxCard,5,5,100.00%,UX7 1.0,0,0
Foundation,RDeferralsTableListPagesPreviewPane,FormPart,Custom,13,0,0.00%,,0,1
Foundation,JmgFlexGroup,SimpleListDetails,SimpleListDetails,28,28,100.00%,1.3,0,0
Foundation,PdsInventBatchShelfLife,SimpleList,SimpleList,47,47,100.00%,1.1,0,0
Foundation,BudgetTransactionMultiPost,Dialog,DialogFastTabs,10,10,100.00%,1,0,0
Foundation,PdsMRCEventTracker,Auto,SimpleDetails-Panorama,44,44,100.00%,1.1,0,0
SourceDocumentation,FinancialDimensionDefaultTemplates,SimpleListDetails,SimpleListDetails,26,10,38.46%,1.3,0,1
Foundation,PdsItemRebateGroup,SimpleList,SimpleList,7,7,100.00%,1.1,0,0
Foundation,JmgIpcActivityCostPrice,SimpleList,SimpleList,9,9,100.00%,1.1,0,0
Foundation,SalesOrdersWithRecentlyChangedDatesPart,FormPart,FormPartSectionList,15,15,100.00%,1.1,0,0
Foundation,BudgetTransferLedgerBalances,Dialog,DialogTabs,21,21,100.00%,1.3,0,0
Foundation,FBBookingPeriodListPage_BR,ListPage,ListPage,35,35,100.00%,UX7 1.0,0,0
Foundation,PdsMRCItemDetails,Auto,SimpleDetails-FastTabsContainer,30,30,100.00%,1.4,0,0
Foundation,JmgIpcCategory,SimpleList,SimpleList,10,10,100.00%,1.1,0,0
Foundation,VendInvoiceJournal,Auto,Task,202,202,100.00%,1.2,0,0
Foundation,PdsMRCItemCAS,SimpleList,SimpleList,10,10,100.00%,1.1,0,0
Foundation,FBCIAPAssessment_BR,SimpleDetails,Custom,89,0,0.00%,,0,1
Foundation,RDeferralsTablePreview,Auto,TaskParentChild,62,62,100.00%,1.2,0,0
Foundation,SalesOrigin,SimpleList,SimpleList,7,7,100.00%,1.1,0,0
Foundation,JmgIPCDetails,FormPart,FormPartFactboxCard,7,7,100.00%,UX7 1.0,0,0
SourceDocumentation,OMNewLegalEntity,Dialog,Dialog,10,5,50.00%,1.2,1,0
Foundation,CaseCategoryLookup,Lookup,LookupTab,17,17,100.00%,1,0,0
Foundation,FBBookingPeriodLookup_BR,Lookup,LookupGridOnly,8,8,100.00%,1.1,0,0
Foundation,SalesPackageAppearance,SimpleList,SimpleList,9,9,100.00%,1.1,0,0
SourceDocumentation,FinancialDimensionDefaultTemplatesLookup,Lookup,LookupGridOnly,3,3,100.00%,1.1,0,0
Foundation,JmgIpcActivity,SimpleListDetails,SimpleListDetails,34,34,100.00%,1.3,0,0
Foundation,PdsMRCRegulatedListItem,Auto,SimpleDetails-FastTabsContainer,15,15,100.00%,1.4,0,0
Foundation,RDeferralsTrans,Auto,Task,40,40,100.00%,1.2,0,0
Foundation,CaseAssociationChange,Dialog,Dialog,11,11,100.00%,1.2,0,0
Foundation,JmgIpcLedgerJournal,Auto,TaskParentChild,20,20,100.00%,1.2,0,0
Foundation,PdsMRCVendorHistory,SimpleList,SimpleList,15,15,100.00%,1.1,0,0
Policy,SysPolicyListPageShowOrganizationPart,FormPart,FormPartFactboxGrid,4,4,100.00%,1.1,0,0
Foundation,FBCIAPAssetTable_BR,DetailsFormTransaction,DetailsTransaction,115,115,100.00%,1.4,0,0
Foundation,SalesParmIdLookup,Lookup,LookupGridOnly,4,4,100.00%,1.1,0,0
Foundation,VendInvoiceJournalUpdateImportDeclNum_MY,DropDialog,DropDialog,6,6,100.00%,1.2,0,0
Foundation,SalesPeriodConfirmation_RU,SimpleList,SimpleList,7,7,100.00%,1.1,0,0
Foundation,CaseCategorySetup,SimpleListDetails,SimpleListDetails-Tree,46,46,100.00%,1.3,0,0
Foundation,JmgIPCStatusListPage,ListPage,ListPage,18,18,100.00%,UX7 1.0,0,0
Foundation,FBBookingPeriodWizard_BR,Wizard,Wizard,62,29,46.77%,1.2,3,0
Foundation,PdsMRCReportingCountry,SimpleList,SimpleList,11,11,100.00%,1.1,0,0
Foundation,PDSProdCompensationPrinciple,Auto,SimpleDetails-ToolbarFields,9,9,100.00%,1.3,0,0
Foundation,PdsRebate,SimpleList,SimpleList,10,10,100.00%,1.1,0,0
Policy,SysPolicyListPageShowRulePart,FormPart,Custom,8,0,0.00%,,0,1
Foundation,RDeferralsWritingOffFactor,SimpleListDetails,SimpleListDetails-Grid,34,34,100.00%,1.4,0,0
Foundation,SalesPool,SimpleList,SimpleList,7,7,100.00%,1.1,0,0
Foundation,CaseDetailCreate,Dialog,DialogTabs,33,33,100.00%,1.3,0,0
Foundation,PdsMRCReportingList,SimpleList,SimpleList,15,15,100.00%,1.1,0,0
Foundation,JmgJobBundleProdFeedback,Dialog,Dialog,34,34,100.00%,1.2,0,0
Ledger,DimensionAttributeLevelValuesPart,FormPart,FormPartFactboxGrid,6,6,100.00%,1.1,0,0
Foundation,CaseCategoryTypeSecurity,Auto,Custom,5,0,0.00%,,0,1
Foundation,PdsMRCRestrictedCountryStateByItem,SimpleList,SimpleList,11,11,100.00%,1.1,0,0
Foundation,JmgJobBundleProjStartup,Dialog,Dialog,11,11,100.00%,1.2,0,0
Foundation,SalesPostingHistory,Auto,TaskParentChild,54,54,100.00%,1.2,0,0
Policy,SysPolicyParameters,TableOfContents,TableOfContents,35,35,100.00%,1.1,0,0
Foundation,VendInvoiceMatchingDetails,Auto,Custom,184,122,66.30%,,0,1
Foundation,FBCIAPAssetTransCreateFromFiscalDoc_BR,Auto,SimpleDetails-StandardTabsContainer,39,7,17.95%,1.5,2,0
Foundation,FBContribCreditType_BR,SimpleList,,16,0,0.00%,,1,0
Foundation,PdsMRCRestrictedItemByCountryState,Auto,SimpleDetails-FastTabsContainer,16,16,100.00%,1.4,0,0
Foundation,JmgJobIdAbsLookUp,Lookup,LookupGridOnly,6,6,100.00%,1.1,0,0
Foundation,PdsRebateAgreement,Auto,TaskParentChild,185,185,100.00%,1.2,0,0
Foundation,CaseListPageMoreInformationPart,FormPart,FormPartFactboxCard,6,6,100.00%,UX7 1.0,0,0
Foundation,FBCIAPAssetTransSumOfICMSInfoPart_BR,FormPart,FormPartFactboxCard,7,7,100.00%,UX7 1.0,0,0
Ledger,DimensionAttributeValueTotallingRef,SimpleList,SimpleList,10,10,100.00%,1.1,0,0
Foundation,JmgJobsByStatusChart,FormPart,HubPartChart,2,2,100.00%,1,0,0
Foundation,SalesPurchCycle,Auto,Task,9,9,100.00%,1.2,0,0
Foundation,PdsRebateAgreementLineInfoPart,FormPart,FormPartFactboxGrid,11,11,100.00%,1.1,0,0
Foundation,FBCIAPTableListPagePreviewPane_BR,FormPart,FormPartFactboxGrid,9,9,100.00%,1.1,0,0
Foundation,CaseMoreInformation_BOMTable,FormPart,FormPartFactboxCard,10,10,100.00%,UX7 1.0,0,0
Foundation,VendInvoicePackingSlip_IN,Auto,Task,16,16,100.00%,1.2,0,0
Foundation,CaseDetail,DetailsFormMaster,DetailsMaster,245,219,89.39%,1.4,0,1
Foundation,PdsMRCRestrictionList,SimpleList,SimpleList,14,14,100.00%,1.1,0,0
Foundation,FBFiscalDocumentAdjustmentCodeICMS_BR,SimpleListDetails,SimpleListDetails,48,48,100.00%,1.3,0,0
Foundation,FBCIAPTableListPage_BR,ListPage,ListPage,18,18,100.00%,UX7 1.0,0,0
Foundation,SalesPurchOperationType_BR,SimpleListDetails,SimpleListDetails,21,21,100.00%,1.3,0,0
Foundation,PdsMRCValidityIntervalbyCountry,SimpleList,SimpleList,10,10,100.00%,1.1,0,0
Foundation,JmgJobsWithDeviationConsumption,Dialog,DialogFastTabs,43,38,88.37%,1,0,1
Foundation,VendInvoicePostingHistory,Auto,TaskParentChild,51,51,100.00%,1.2,0,0
Foundation,FBContribAssetTableListPage_BR,ListPage,,23,0,0.00%,,1,0
Foundation,JmgJobIdLookUp,Lookup,LookupTab,44,44,100.00%,1,0,0
Foundation,VendInvoicePurchaseOrderEnhancedPreview,FormPart,FormPartFactboxCard,10,10,100.00%,UX7 1.0,0,0
Foundation,FBFiscalDocumentAdjustment_BR,SimpleListDetails,SimpleListDetails,38,38,100.00%,1.3,0,0
Foundation,SalesQuickQuote,Dialog,DialogTabs,61,61,100.00%,1.3,0,0
Foundation,CaseMoreInformation_Case,FormPart,FormPartFactboxCard,12,12,100.00%,UX7 1.0,0,0
Foundation,CaseMoreInformation_InterestNote,FormPart,FormPartFactboxCard,11,11,100.00%,UX7 1.0,0,0
Foundation,PdsRebatePayment,SimpleList,SimpleList,23,23,100.00%,1.1,0,0
Foundation,JmgJobPreview,Auto,Custom,21,0,0.00%,,0,1
Foundation,CaseMoreInformation_CustTable,FormPart,FormPartFactboxCard,7,7,100.00%,UX7 1.0,0,0
Foundation,FBContribAssetTable_BR,DetailsFormTransaction,,74,0,0.00%,,1,0
Foundation,RDeferralsWritingOffProfile,Auto,Custom,24,0,0.00%,,0,1
Foundation,PdsRebateProgramTMATable,SimpleList,SimpleList,7,7,100.00%,1.1,0,0
Foundation,CaseMoreInformation_InventTable,FormPart,FormPartFactboxCard,8,8,100.00%,UX7 1.0,0,0
Foundation,PdsRebateTableListPage,DetailsFormMaster,DetailsMaster,97,97,100.00%,1.4,0,0
Foundation,VendInvoiceViolation,SimpleListDetails,SimpleListDetails,38,38,100.00%,1.3,0,0
Foundation,FBFiscalDocument_BR,Auto,Task,40,40,100.00%,1.2,0,0
Foundation,PdsRebateTableListPagePreviewPane,FormPart,FormPartFactboxCard,9,9,100.00%,UX7 1.0,0,0
Foundation,CaseMoreInformation_Lead,FormPart,FormPartFactboxCard,9,9,100.00%,UX7 1.0,0,0
Foundation,SalesQuotationCopying,Dialog,Custom,161,152,94.41%,,0,1
Foundation,RDeferralsWritingOffValuePart,FormPart,FormPartFactboxGrid,9,9,100.00%,1.1,0,0
Foundation,PdsRebateTrans,SimpleList,SimpleList,13,13,100.00%,1.1,0,0
Foundation,FBFiscalPrinterDailyReport_BR,SimpleList,SimpleList,24,24,100.00%,1.1,0,0
Ledger,DimensionConfigureAccountRule,SimpleListDetails,SimpleListDetails,33,33,100.00%,1.3,0,0
Foundation,PdsRebateTable,Auto,Task,102,102,100.00%,1.2,0,0
Foundation,CaseMoreInformation_CustTrans,FormPart,FormPartFactboxCard,9,9,100.00%,UX7 1.0,0,0
Foundation,CaseMoreInformation_Opportunity,FormPart,FormPartFactboxCard,12,12,100.00%,UX7 1.0,0,0
Foundation,VendInvoiceXmlMapping_BR,Auto,Custom,25,0,0.00%,,0,1
Foundation,FBContribAssetTransTaxAssessment_BR,DetailsFormTransaction,,65,0,0.00%,,1,0
Foundation,JmgJobsWithDeviationHour,Dialog,DialogFastTabs,29,15,51.72%,1,0,1
Foundation,JmgJobRefLookUp,Lookup,LookupTab,18,18,100.00%,1,0,0
Foundation,PdsRebateType_CustLookup,Lookup,LookupGridOnly,5,5,100.00%,1.1,0,0
Foundation,Reasons,SimpleList,SimpleList,18,18,100.00%,1.1,0,0
Foundation,SalesQuotationDeleteQuotations,SimpleList,SimpleList,16,16,100.00%,1.1,0,0
Foundation,CaseMoreInformation_ProductionOrder,FormPart,FormPartFactboxCard,10,10,100.00%,UX7 1.0,0,0
Foundation,CaseMoreInformation_EcoResProduct,FormPart,FormPartFactboxCard,6,6,100.00%,UX7 1.0,0,0
Foundation,FBContribCreditControlDetail_BR,SimpleListDetails,,39,0,0.00%,,1,0
Foundation,PdsResetShelfDates,Dialog,Dialog,12,12,100.00%,1.2,0,0
Foundation,CaseMoreInformation_HcmWorker,FormPart,FormPartFactboxCard,10,10,100.00%,UX7 1.0,0,0
Foundation,VendInvoiceXmlMatchApproval_BR,Auto,Custom,62,56,90.32%,,0,1
Foundation,SalesQuotationDeliverySchedule,Dialog,Dialog,41,36,87.80%,1.2,0,1
Foundation,FBGeneralAdjustmentCodeICMS_BR,SimpleListDetails,SimpleListDetails-Grid,42,42,100.00%,1.4,0,0
Foundation,CaseMoreInformation_ProjTable,FormPart,FormPartFactboxCard,9,9,100.00%,UX7 1.0,0,0
Foundation,PlanActivityRelationNew,Dialog,Dialog,20,20,100.00%,1.2,0,0
Foundation,PdsResetVendorBatchDetails,Dialog,Dialog,16,16,100.00%,1.2,0,0
Foundation,CaseMoreInformation_QualityOrder,FormPart,FormPartFactboxCard,10,10,100.00%,UX7 1.0,0,0
Foundation,JmgJobsWithDeviationReportedQty,Dialog,DialogFastTabs,42,27,64.29%,1,0,1
Foundation,RecurrenceInvoice,SimpleList,SimpleList,27,27,100.00%,1.1,0,0
Foundation,CaseMoreInformation_PurchLine,FormPart,FormPartFactboxCard,9,9,100.00%,UX7 1.0,0,0
Ledger,DimensionConfigureAccountRuleStructure,DetailsFormMaster,DetailsMaster,71,71,100.00%,1.4,0,0
Foundation,FBLedgerJournalTransCancelVoucher_BR,Dialog,Dialog,17,17,100.00%,1.2,0,0
Foundation,SalesQuotationEditLines,Dialog,Custom,85,74,87.06%,,0,1
Foundation,CaseMoreInformation_ReturnOrder,FormPart,FormPartFactboxCard,8,8,100.00%,UX7 1.0,0,0
Foundation,FBGeneralAdjustmentCodeIPI_BR,SimpleListDetails,SimpleListDetails,32,32,100.00%,1.3,0,0
Foundation,VendInvoiceXmlMatch_BR,Auto,Custom,100,87,87.00%,,0,1
Foundation,JmgLoadArchivedTermReg,Dialog,DialogTabs,8,6,75.00%,1.3,0,1
Foundation,CaseMoreInformation_PurchTable,FormPart,FormPartFactboxCard,11,11,100.00%,UX7 1.0,0,0
Foundation,PlanActivityServiceDetails,Auto,SimpleDetails-FastTabsContainer,44,35,79.55%,1.4,0,1
Foundation,PdsVendBatchEditLines,Auto,SimpleDetails-FastTabsContainer,28,28,100.00%,1.4,0,0
Foundation,RegisterVAT_W,SimpleList,SimpleList,18,18,100.00%,1.1,0,0
Foundation,CaseMoreInformation_RouteTable,FormPart,FormPartFactboxCard,8,8,100.00%,UX7 1.0,0,0
Foundation,FBGeneralAdjustmentCodePISCOFINS_BR,SimpleListDetails,,38,0,0.00%,,1,0
Foundation,CashSourceCodeTable_RU,SimpleList,,12,0,0.00%,,1,0
Foundation,PlanActivityServiceItemLookup,Lookup,LookupGridOnly,13,13,100.00%,1.1,0,0
Foundation,JmgJobReportDeviationUpdateDialog,Dialog,Dialog,16,16,100.00%,1.2,0,0
Foundation,VendJournalMatch_PackingSlip,Dialog,DialogDoubleTabs,84,84,100.00%,1.3,0,0
Foundation,PdsVendBatchInfo,Dialog,Dialog,12,12,100.00%,1.2,0,0
Foundation,JmgMEParameters,TableOfContents,TableOfContents,49,49,100.00%,1.1,0,0
Foundation,CaseMoreInformation_SalesTable,FormPart,FormPartFactboxCard,11,11,100.00%,UX7 1.0,0,0
Foundation,FBLedgerJournalTransTaxAssessAdj_BR,Auto,Task,89,66,74.16%,1.2,1,0
Foundation,ReqActionGraph,SimpleListDetails,SimpleListDetails,63,24,38.10%,1.3,0,2
Foundation,CatAttributeForm,Dialog,Dialog,7,7,100.00%,1.2,0,0
Ledger,DimensionConfigureAccountStructure,DetailsFormMaster,DetailsMaster,79,79,100.00%,1.4,0,0
Foundation,VendLatestUnrealizedRev,FormPart,FormPartFactboxGrid,6,6,100.00%,1.1,0,0
Foundation,SalesQuotationListPage,ListPage,ListPage,89,89,100.00%,UX7 1.0,0,0
Foundation,CaseMoreInformation_SMAServiceOrderTable,FormPart,FormPartFactboxCard,11,11,100.00%,UX7 1.0,0,0
Foundation,PlanActivityServiceWizard,Wizard,Wizard,50,34,68.00%,1.2,0,1
Foundation,ReqActionGraphDisplayOptions,DropDialog,DropDialog,6,6,100.00%,1.2,0,0
Foundation,PLABalanceForm_IN,Auto,SimpleDetails-FastTabsContainer,19,19,100.00%,1.4,0,0
Foundation,JmgMESAssistance,Dialog,Dialog,8,8,100.00%,1.2,0,0
Foundation,JmgMESBalances,Auto,SimpleDetails-Panorama,17,11,64.71%,1.1,0,2
Foundation,FBStageFiscalRcptListPagePreviewPane_BR,FormPart,FormPartFactboxGrid,9,9,100.00%,1.1,0,0
Foundation,CaseMoreInformation_smmBusRelTable,FormPart,FormPartFactboxCard,5,5,100.00%,UX7 1.0,0,0
Foundation,FBLedgerParameters_BR,Auto,SimpleDetails-StandardTabsContainer,9,4,44.44%,1.5,1,0
Foundation,CatCatalogPolicyRule,Dialog,Dialog,10,10,100.00%,1.2,0,0
Foundation,PlanActivityWizard,Wizard,Wizard,93,93,100.00%,1.2,0,0
Foundation,SalesQuotationListPagePreviewPane,FormPart,Custom,16,0,0.00%,,0,1
Foundation,JmgMESBreak,DropDialog,DropDialog,5,5,100.00%,1.2,0,0
Foundation,FBStageFiscalReceiptListPage_BR,ListPage,ListPage,29,29,100.00%,UX7 1.0,0,0
Ledger,DimensionCreateAccountRule,DropDialog,DropDialog,6,6,100.00%,1.2,0,0
Foundation,PLADetails_IN,Auto,SimpleDetails-FastTabsContainer,14,14,100.00%,1.4,0,0
Foundation,VendLedgerLookup,Lookup,LookupGridOnly,6,6,100.00%,1.1,0,0
Foundation,JmgMESAssistanceResource,Dialog,Dialog,8,8,100.00%,1.2,0,0
Foundation,ReqCreatePlanWorkspace,Workspace,WorkspaceOperational,47,47,100.00%,1,0,0
Foundation,CaseMoreInformation_TrvExpTable,FormPart,FormPartFactboxCard,8,8,100.00%,UX7 1.0,0,0
Foundation,SalesQuotationPriceSimulation,Auto,Task,66,66,100.00%,1.2,0,0
Foundation,VendNotificationListPage,ListPage,ListPage,16,16,100.00%,UX7 1.0,0,0
Foundation,JmgMESLogBook,Auto,SimpleDetails-Panorama,22,20,90.91%,1.1,0,1
Foundation,CaseMoreInformation_TrvExpTrans,FormPart,FormPartFactboxCard,14,14,100.00%,UX7 1.0,0,0
Foundation,FBStageFiscalReceiptValidationErrors_BR,FormPart,FormPartFactboxCard,4,4,100.00%,UX7 1.0,0,0
Foundation,PlCustInvoiceJournalSad,Auto,Task,37,37,100.00%,1.2,0,0
Foundation,FBNonFiscalOperation_BR,Auto,SimpleDetails-FastTabsContainer,53,53,100.00%,1.4,0,0
Foundation,PlanActivity,SimpleListDetails,SimpleListDetails,51,51,100.00%,1.3,0,0
Foundation,ReqDemPlanCreateForecastDialog,Dialog,DialogFastTabs,25,25,100.00%,1,0,0
Foundation,JmgMESRequestActionDialog,Dialog,Dialog,24,24,100.00%,1.2,0,0
Foundation,VendNotificationTemplate,SimpleListDetails,SimpleListDetails,42,29,69.05%,1.3,0,1
Foundation,JmgPayAgreementTable,SimpleList,SimpleList,17,17,100.00%,1.1,0,0
Foundation,PlCustPackageHolder,SimpleList,SimpleList,12,12,100.00%,1.1,0,0
Foundation,CaseMoreInformation_VendInvoiceJour,FormPart,FormPartFactboxCard,8,8,100.00%,UX7 1.0,0,0
Foundation,ReqDemPlanDefaultAlgorithmParameters,SimpleList,SimpleList,12,12,100.00%,1.1,0,0
Ledger,DimensionCreateAccountRuleStructure,DropDialog,DropDialog,6,6,100.00%,1.2,0,0
Foundation,PlanActivityAddExisting,DropDialog,DropDialog,5,5,100.00%,1.2,0,0
Foundation,JmgPayCountSum,SimpleList,SimpleList,13,13,100.00%,1.1,0,0
Foundation,FBObservationCodeTable_BR,SimpleList,SimpleList,7,7,100.00%,1.1,0,0
Foundation,JmgMESSwitchCode,DropDialog,DropDialog,5,5,100.00%,1.2,0,0
Foundation,VendNotificationTemplateLanguage,SimpleListDetails,SimpleListDetails,13,13,100.00%,1.3,0,0
Foundation,FBStageFiscalReceipt_BR,DetailsFormTransaction,DetailsTransaction,146,146,100.00%,1.4,0,0
Foundation,SalesQuotationProjLinkWizard,Wizard,Wizard,82,42,51.22%,1.2,0,4
Foundation,CaseMoreInformation_VendInvoiceTrans,FormPart,FormPartFactboxCard,8,8,100.00%,UX7 1.0,0,0
Foundation,JmgPayCountTable,SimpleList,SimpleList,16,16,100.00%,1.1,0,0
Foundation,JmgMissingClockInOut,Dialog,Dialog,22,22,100.00%,1.2,0,0
Foundation,PlCustPackageReturn,Auto,TaskParentChild,27,27,100.00%,1.2,0,0
Foundation,CaseMoreInformation_VendTable,FormPart,FormPartFactboxCard,8,8,100.00%,UX7 1.0,0,0
Foundation,FBStageInventBalance_BR,Auto,SimpleDetails-FastTabsContainer,50,50,100.00%,1.4,0,0
Foundation,FBParametersPerState_BR,SimpleListDetails,SimpleListDetails,26,26,100.00%,1.3,0,0
Foundation,VendOneTimeVendInvoice_PSN,Dialog,Dialog,39,39,100.00%,1.2,0,1
Foundation,PlCustVendVatRegNums,SimpleListDetails,SimpleListDetails,16,16,100.00%,1.3,0,0
Ledger,DimensionCreateAccountStructure,DropDialog,DropDialog,7,7,100.00%,1.2,0,0
Foundation,PlanActivityAddExistingLookup,Lookup,LookupGridOnly,6,6,100.00%,1.1,0,0
Foundation,CashDisc,SimpleListDetails,SimpleListDetails,26,26,100.00%,1.3,0,0
Foundation,ReqDemPlanEasyItemAllocator,Auto,Custom,29,23,79.31%,,0,1
Foundation,CatDisplayExternalCatalogAdd,Dialog,Dialog,18,5,27.78%,1.2,0,1
Foundation,CashDiscLookup,Lookup,LookupGridOnly,4,4,100.00%,1.1,0,0
Foundation,FBStageNonFiscalOp_BR,Auto,Task,65,65,100.00%,1.2,0,0
Foundation,PlanActivityDetails,Auto,SimpleDetails-FastTabsContainer,103,103,100.00%,1.4,0,0
Foundation,SalesQuotationProjTable,DetailsFormTransaction,DetailsTransaction,375,357,95.20%,1.4,0,3
Foundation,JmgPayEmployee,SimpleList,SimpleList,12,12,100.00%,1.1,0,0
Foundation,VendOnHoldUpdate,DropDialog,DropDialog,8,8,100.00%,1.2,0,0
Foundation,CashDueAnnouncement_RU,Auto,Task,24,24,100.00%,1.2,0,0
Foundation,PlFiscalDocChange,Dialog,Dialog,15,15,100.00%,1.2,0,0
Foundation,ReqDemPlanForecastAggregationConfigurator,Dialog,DialogFastTabs,14,14,100.00%,1,0,0
Foundation,JmgNotifications,FormPart,Custom,6,0,0.00%,,0,1
Foundation,CatDisplayProductAdd,Dialog,AdvancedSelection,21,21,100.00%,1.1,0,0
Foundation,FBStageReferencedFiscalDocument_BR,SimpleListDetails,SimpleListDetails-Grid,40,40,100.00%,1.4,0,0
Foundation,FBRetailZReport_BR,Auto,Task,26,26,100.00%,1.2,0,0
Foundation,PlFiscalPrinterTable,Auto,Task,18,18,100.00%,1.2,0,0
Foundation,JmgPayEvents,SimpleListDetails,SimpleListDetails,30,30,100.00%,1.3,0,0
